2018-11-19 16:33:37,673 - StartUp.py - 8 : --------------------开始--------------------
2018-11-19 16:33:46,215 - pipelines.py - 126 : open_sina7x24_spider
2018-11-19 16:34:20,629 - MongoDBStudy.py - 36 : 数据库已存在！
2018-11-19 16:34:20,632 - MongoDBStudy.py - 51 : 集合已存在！
2018-11-19 16:34:20,650 - MongoDBStudy.py - 88 : 数据总量：264
2018-11-19 16:34:20,652 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:22:09', 'info': '【中国和新加坡将在金融科技和监管衍生品方面展开合作】新加坡金管局在新闻稿中指出，中国央行和新加坡金管局同意共同致力于发展金融科技和规范衍生商品活动。新加坡交易所同意推广中国外汇交易中心与中国银行共同设计的债券指数；该指数追踪中国债券市场的走势，可作为投资组合的基准。（彭博）'}
2018-11-19 16:34:20,653 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:22:30', 'info': '【广西拟新建高速8000公里】从《广西高速公路网规划（2018—2030年）》新闻发布会获悉，此次规划在原规划的基础上新增路线里程6600公里，改扩建里程1400公里，合计新增建设规模8000公里，高速公路总里程达到15200公里，广西高速公路面积密度将达到6.4公里/百平方公里。'}
2018-11-19 16:34:20,653 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:24:12', 'info': '【山东规划建设基于量子密码的新型安全通信网络体系】山东省政府日前公布的《山东省新一代信息技术产业专项规划（2018-2022年）》中提出，将建设基于量子密码的新型安全通信网络体系和国家级量子通信网络基础设施共享服务平台，开展量子通信安全、核心关键器件等领域的科技攻关和产业化。山东计划，到2022年，全省信息技术产业综合竞争力全面提升，产业规模保持全国前三。初步建成竞争力强、特色优势突出的新一代信息技术产业体系，重点培育3个到5个千亿级企业、8个到10个千亿级特色产业集群，逐步成长为山东现代化经济体系新支柱和拉动山东经济增长的新引擎。 （新华社）'}
2018-11-19 16:34:20,653 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:30:57', 'info': '【蚂蚁金服首席执行官井贤栋：技术服务将成为核心业务 从未为任何IPO制定时间计划 】据CNBC报道，蚂蚁金服首席执行官井贤栋在接受采访时表示，“长期来看”公司未来的核心业务将是技术服务，而不仅仅是支付业务。支付宝将成为“旗舰”消费产品。其还称，蚂蚁金服从未为任何IPO制定时间计划，“IPO只是公司发展的某个阶段，是水到渠成的事情，我们不会把上市作为终极目标。”'}
2018-11-19 16:34:20,653 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:42:26', 'info': '【宝宝树大削集资额 步腾讯支持的同程艺龙后尘】路透援引今日看到的销售文件报道称，宝宝树设定招股价区间为每股6.8-8.8港元，初步拟发售2.50323亿股新股，集资17.02-22.03亿港元（2.177-2.817亿美元），较原先目标8-10亿美元大减逾七成。较宝宝树早一天开始路演的同程艺龙拟集资1.79-2.32亿美元，亦较原先目标下降近八成。两间公司均不设基石投资者以锁定部分认购金额。注：宝宝树于今年5月获阿里巴巴战略投资（透过其间接全资公司淘宝中国）2.14亿美元，当时估值达140亿元人民币（20亿美元），目前的持股比例为9.9%。'}
2018-11-19 16:34:20,653 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:43:14', 'info': '【银隆新能源：超10亿元公司利益被侵占不影响目前现金流】11月14日，银隆新能源向记者表示，公司利益被侵占超过10亿元已在公司以前年度账面体现，不影响公司目前经营性现金流，也不会影响与金融机构、供应商的合作。自2018年7月底起，魏银仓未与公司取得联系，并缺席公司股东会。据知情人士透露，魏银仓已滞留香港3个月。 （中证报）'}
2018-11-19 16:34:20,653 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:49:14', 'info': '【工信部为车联网直连通信开绿灯，广汽等车企将在广州车展放大招】11月13日，工业和信息化部官网发布《车联网（智能网联汽车）直连通信使用5905-5925MHz频段管理规定（暂行）》明确，5.9G频段作为基于LTE的C-V2X技术的车联网（智能网联汽车）直连通信的工作频段。工信部为车联网直连通信开绿灯，推动智能网联电动汽车步入快车道。各大车企将于11月16日举行的广州车展发起新能源和自动驾驶等技术的密集“轰炸”，为下一站而战。（一财）'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:52:56', 'info': '【中国建筑西南区域总部与重庆市签订500亿元合作协议】近日，中国建筑西南区域总部与重庆市高新技术产业开发区、九龙坡区人民政府签订合作协议。根据协议，双方将在股权投资与基础设施建设、设立产业基金、水务生态环境治理、城镇化和生态文明建设、棚户区改造等领域开展多层次合作，预计合作规模超过500亿元。'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:38:36', 'info': '【杭州要求中小P2P平台退出】知情人士表示，杭州的监管机构对中小型互联网借贷平台的立场变得强硬，扩大了政府主导的行业整顿的范围。知情人士透露，贷款余额不足1亿元人民币（1400万美元）的一些平台被相关部门告知，它们有12个月的时间来关停业务、把资金还给客户。其中一位人士称，虽然整顿的焦点是杭州，但可能会延伸到浙江省的其他城市。'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:42:48', 'info': '【支持民营企业发债 交行再次推出信用风险缓释凭证】11月14日，由交通银行担任创设机构的“18碧水源CP002信用风险缓释凭证”挂网公告，该只信用风险缓释凭证由交通银行与中债信用增进投资股份有限公司联合创设，创设金额不超过5亿元，期限365天。该只信用风险缓释凭证的参考债务为北京碧水源科技股份有限公司2018年度第二期短期融资券，发行金额14亿元，发行期限365天。'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:43:28', 'info': '半导体板块午后回暖，兆易创新封板，上海新阳回封涨停，圣邦股份、韦尔股份、士兰微纷纷跟涨。'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:43:48', 'info': '上汽集团推出的网约车平台“享道出行”将在11月18日试运营。（央广网）'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:50:39', 'info': '【汉威科技领衔，郑州高新区打造千亿级中国智能传感谷】在第十五届全国敏感元件与传感器学术会议上获悉，郑州高新区打造中国智能传感谷，将以汉威电子智能传感器产业园为核心，先期布局传感器产业的先导区，推动智能传感器产业发展。据悉，河南省着力推动智能传感器材料、设备、设计、制造、分装、测试全产业链发展，重点推进郑州高新区中国智能传感谷以及洛阳、新乡传感基地“一谷两基地”建设，力争通过三到五年的努力，全力打造具有国际影响力的智能传感器研发制造产业高地。（大河网）'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:52:12', 'info': '【预计到2020年中国城市轨道交通运营里程将逾6000公里】从交通运输部获悉，截至2018年10月底，中国内地共有24个省份的35个城市开通运营轨道交通，运营线路163条、总里程4909公里（不含市域轨道交通）。另外，规划建设里程7700公里，其中在建里程超过6000公里。交通运输部预计，到2020年，全国城市轨道交通运营里程将超过6000公里。（中新网）'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:53:51', 'info': '恒生国企指数跌幅扩大至1%。'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:54:36', 'info': '北上资金转为净流出，现净流出逾1亿元，早盘一度净流入逾5亿元。'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:55:42', 'info': '【MIT全球峰会首落中国，商汤科技创始人汤晓鸥畅谈AI发展价值】昨天，由MIT麻省理工学院和中国科学院联合举办的首届MIT中国峰会在北京召开。商汤科技创始人、香港中文大学教授汤晓鸥在会上表示，AI需要融入其他行业，帮助不同领域提升效率。AI的目的是帮助我们打破界限，打通不同领域、学科间的界限，弥合传统工业和基础研究的界限，甚至打破国与国之间的界限。作为“智能视觉”国家新一代人工智能开放创新平台，商汤科技也将在多方位的跨界合作中发挥重要作用。'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 13:58:33', 'info': '午后开盘燃料油期货、沥青期货双双跌停。'}
2018-11-19 16:34:20,654 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:01:02', 'info': '日本日经225指数收涨0.2%，报21846.48点；东证指数收涨0.2%，报1641.26点。'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:02:22', 'info': '【全球头号对冲基金桥水最新持仓曝光：加仓新兴市场】桥水基金向美国证监会SEC提交了三季度持仓报告，三季度桥水美股仓位从二季度末的100亿美元降为96.5亿美元。或许出于对美国市场的担忧，桥水增加了新兴市场的投资配比，三季度前五大增仓中前两大增仓为新兴市场基金。由于桥水目前持仓主要集中在指数基金，所以难以判断其对于具体国家和地区的看法。不过近期桥水相当高调唱多中国，并已在国内发行了首只私募基金。（中国证券报）'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:05:12', 'info': '德国财长绍尔茨：意大利政府负债率高，必须谨慎行事。'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:06:00', 'info': '【英特尔在中国宣布“AI未来先锋计划”】英特尔人工智能大会今日在北京举行。在大会期间，英特尔宣布了 “AI未来先锋计划”，在前沿研究、师资建设、人才培养、产业对接等方面展开多方位合作。英特尔公司全球副总裁兼中国区总裁杨旭表示：“我们将把这个计划长期推进下去，英特尔与中国高校、科研机构及教育界的合作也将持续拓展和深入。‘AI未来先锋计划’是开放式的，未来将有更多合作伙伴加入其中。”（36氪）'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:08:50', 'info': '意大利周二午夜向欧盟提交了调整后的预算。'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:09:09', 'info': 'Gokhale：印度将从美国进口更多石油和天然气，美国副总统彭斯可能在2019年访问印度。'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:09:37', 'info': '【李克强同加拿大总理特鲁多举行第三次中加总理年度对话】当地时间11月14日上午，国务院总理李克强在新加坡出席东亚合作领导人系列会议期间，同加拿大总理特鲁多举行第三次中加总理年度对话。李克强指出，中加经济互补性强，合作前景广阔。我们愿同加方不断提升双方贸易投资规模和水平，深化在航空、气候变化、环境、农业、金融等领域合作，加强人文交流。（新华社）'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:10:35', 'info': '【新华锦：旗下没有创投类公司 时机成熟会启动并购】新华锦11月14日在互动平台回复投资者提问时称，公司旗下没有创投类的公司。参与投资设立并购基金是公司推进外延式并购发展的重要途径。公司已考察多个跨境电商和新材料领域的公司，待时机成熟，公司会启动并购程序。'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:11:46', 'info': 'IMF意大利工作小组组长：意大利陷入衰退的风险有所上升。（意大利晚邮报）'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:12:36', 'info': '【顺利办：控股及参股多家创投公司】顺利办在互动平台上表示，公司控股青海宁达创业投资有限责任公司，参股广西海东科技创业投资有限公司、河北兴石创业投资有限公司。'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:15:59', 'info': '【卓翼科技：科创板的开通对于深创谷来说是个不错的发展机遇】卓翼科技在互动平台上表示，公司的重要参股公司深创谷是一家专注于医疗健康、机器人、人工智能以及大数据等行业垂直领域的科技创新，挖掘软硬结合的技术驱动型项目，支持高校及机构科研成果转化，深度加速垂直领域内顶尖的创业公司。科创板的开通，对于“深创谷”这类专注科技创新项目孵化和投资的企业来说，是个不错的发展机遇。'}
2018-11-19 16:34:20,655 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:28:01', 'info': '沪深300指数跌幅扩大至1.1%。'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:28:05', 'info': '【海淀联手江苏银行北京分行纾困优质民企 首笔贷款已发】在今天举行的“海淀国资委服务企业”座谈会上获悉，北京市海淀区国资委已与江苏银行北京分行签署战略合作协议，向融资难民营企业发放贷款，纾困民营企业，支持科技创新。签约当天下午，江苏银行北京分行向海淀区上市公司博天环境发放了战略合作协议框架下的首笔贷款5000万元，对博天环境的另外5000万元贷款也将于近期发放。（新京报）'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:29:31', 'info': '【欧盟官员：意大利在周二午夜过后向欧盟发送了修订后的预算案】外媒援引一位欧盟官员表示，在11月13日截止日期过后不久，欧盟委员会就收到了意大利对于欧盟要求提交修订后2019年预算案的回应。'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:33:09', 'info': '韩国KOSPI指数收盘下跌0.15%，报2068.06点。'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:34:23', 'info': '【立讯精密回应苹果“砍单”传闻：对公司今年销售影响不足2%】针对市场传闻的大客户（苹果）个别产品订单下修对公司的影响，立讯精密(002475)昨晚在电话会议上回应称，大客户整体的手机销量基本符合预期，其产品销售迭代比例逐渐发生变化，这可能与消费者追新及换机时间拉长有关。此外，公司服务大客户所在的产品线较广，基本覆盖大部分机型，影响相对小。测算订单下修对公司今年销售的影响可能不足两个百分点，这还是基于其他产品线处于销售静态情况下的测算。（e公司）'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:34:45', 'info': '【人人网卖身：从市值94亿美元沦落到2000万美元售予多牛传媒】多牛互动传媒股份有限公司11月14日宣布，已与曾经的“社交网络鼻祖”人人公司达成协议，战略并购人人网相关的社交网络、人人直播及增值业务。从人人公司的官方声明中了解到，其子公司北京千橡网景科技发展有限公司已同意，将其所从事业务中的人人网社交平台业务相关资产，以2000万美元的现金对价售予多牛传媒。（经济观察网）'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:35:16', 'info': '意大利财长特里亚在给欧盟的信件中称，财政扩张“ 完全有必要 ”。'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:38:48', 'info': '【近300家公司理财金额超前三季营收】统计显示，今年以来A股上市公司累计理财资金同比增长近两成，上市公司理财热仍在持续升温，其中近300家公司购买理财金额超前三季营业收入，但整体看，A股公司购买理财产品规模并不大。购买理财的公司中，七成以上公司全年业绩预喜，整体业绩表现靓丽。（证券时报）'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:41:46', 'info': '【医药公司NextCure完成9300万美元B轮融资】今日，专注于发现并开发下一代免疫药物治疗癌症和其它疾病的生物医药公司NextCure宣布，已经完成9300万美元的B轮股权融资。本次融资由高瓴资本和泉创资本领投，其他现有投资者也有追加投资。据悉，一周前，礼来刚刚宣布将开启与NextCure的多年合作计划，并向NextCure支付了总额为4000万美元的预付款以及股权投资。'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:43:15', 'info': '华讯方舟在互动平台表示：至2018年10月，公司创客中心孵化的企业约有50家。'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:44:45', 'info': '环保板块尾盘异动，博天环境直线封板，德创环保、鹏鹞环保、旺能环境等快速跟涨。'}
2018-11-19 16:34:20,656 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:48:34', 'info': '【耐威科技：内部孵化及投资公司将根据各自条件选择资本道路】对于旗下公司会否选择对接科创板的问题，耐威科技在互动平台上表示，公司通过内部孵化围绕主业投资了一些高科技公司，如专注组合导航系统应用研发的兆联智能，专注无人系统研发的耐威智能等；同时直接或通过产业基金投资了镭航世纪、光谷信息、苍穹数码（地信测绘）等高科技公司。公司鼓励支持上述公司的发展，具体发展路径不作约束和限制，选择哪一条资本市场道路，需要看各路径的条件和各公司的发展情况。'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:49:48', 'info': '意大利向欧盟提交的新预算修改案没有修改经济增长和赤字的预期，新预算案仍将2019年的GDP增速设置在1.5%，2020年为1.6%。 （路透）'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:50:54', 'info': '【江苏省政府与浪潮集团签署战略合作协议】11月13日，江苏省政府与浪潮集团签署战略合作协议。浪潮集团将在江苏省建设华东区域运营总部及科技产业园区、研发中心，建设浪潮（苏州）高端装备智能制造产业基地、浪潮无锡天元大数据产业基地、浪潮江苏云计算中心平台，依托浪潮工业互联网国家级平台助力江苏省工业互联网平台发展，积极参与江苏省新型智慧城市建设。'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:51:30', 'info': '【当升科技：目前产品需求旺盛 产线接近满产】当升科技表示，公司目前产品需求旺盛，订单饱满，产线接近满产。公司多元材料产品以动力型NCM523材料为主，但高镍产品占比正逐渐提高，其中NCM811已批量供货，出货量正进一步增大。'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 14:54:44', 'info': '【申万宏源钱启敏：对“妖股”行情应注意回避风险】深交所“双管齐下”重点监控恒立实业、*ST长生等异常交易，相关个股今日大幅震荡。“妖股”行情还能走多远？申万宏源联席市场总监钱启敏认为，减少交易阻力不等于放弃监管，对“妖股”行情应注意回避风险。低价股超跌反弹和重组松绑有一定关系，市场短线风格轮动，核心还是价值成长。（第一财经）'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:00:05', 'info': '农业农村部就《长江流域专项捕捞管理调整方案（征求意见稿）》向社会征求意见：取消凤鲚（凤尾鱼）、刀鲚（长江刀鱼）、中华绒螯蟹（河蟹）等专项捕捞许可，停止发放凤鲚（凤尾鱼）、刀鲚（长江刀鱼）、中华绒螯蟹（河蟹）等专项捕捞许可证。'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:00:57', 'info': '【收评：两市冲高回落沪指跌0.85% 油气股集体杀跌】截止收盘，沪指报2632.24点，跌幅0.85%，深成指报7908.55点，跌幅0.69%；创指报1385.73点，跌幅0.45%。 从盘面上看，创投、自贸港、芯片等板块涨幅居前，油气、银行、券商等板块跌幅居前。'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:02:46', 'info': '国内期市收盘，原油期货上市以来首次跌停报收，燃油、沥青一度跌停，甲醇、PTA跌近3%，黑色系小幅回暖，动力煤涨超2%。'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:03:04', 'info': '泰国央行将基准利率维持在1.50%不变。'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:03:41', 'info': '【信息发展：下属企业未来不排除在科创板上市】信息发展在互动平台回复投资者提问时称，公司将持续关注科创板最新信息，在相关条件和政策允许情况下，公司下属企业，未来不排除在科创板上市。'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:04:12', 'info': '【北京将打造“一区一核、多点支撑”的金融科技发展格局】中关村管委会、北京市金融工作局和北京市科学技术委员会日前联合发布《北京市促进金融科技发展规划（2018年-2022年）》。规划显示，北京市力争到2022年底，涌现5-10家国际知名的金融科技领军企业，形成3至5个具有国际影响力的创新集群，开展10至15个重大示范应用项目。'}
2018-11-19 16:34:20,657 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:08:06', 'info': '【北向资金净流出6.53亿元 终结五天净流入态势】截至收盘，北向资金净流出6.53亿元，终结连续五天净流入态势。其中，沪股通资金净流出4.59亿元，当日余额524.59亿元；深股通资金净流出1.94亿元，当日余额521.94亿元。'}
2018-11-19 16:34:20,658 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:08:22', 'info': '【北京大兴国际机场明年竣工，建设京津冀世界级机场群】北京大兴国际机场将努力实现三大发展目标，即大型国际枢纽、国家发展新动力源、综合交通枢纽。在运输规模、安全服务、枢纽建设上实现大型国际航空枢纽发展目标；通过服务雄安新区、京津冀协同发展，实现国家发展一个新的动力源目标；通过推动构建“五纵两横”主干网，实现京津冀区域综合交通枢纽发展目标。待明年竣工后，北京大兴国际机场将成为世界超级航空港。其建成投运意味着中国第一个世界级机场群——京津冀世界级机场群也将登台亮相。'}
2018-11-19 16:34:20,658 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:08:44', 'info': '【云从科技与中国工商银行达成战略合作，共建金融科技创新平台】11月13日，中国人工智能企业云从科技与中国工商银行、贵州大学、VISA国际卡组织签署战略合作协议，四方联合设立工银金融科技创新平台。据悉，云从科技将为中国工商银行在校园场景内为师生提供基于聚合支付功能的智慧停车、摆渡车电子支付、一卡通支付等金融服务，并打造包含自主银行服务区等功能的工银金融科技创新平台。（36氪）'}
2018-11-19 16:34:20,658 - MongoDBStudy.py - 90 : {'date': '2018-11-14 15:09:48', 'info': '【路透：亚洲经济增长放缓及创纪录的进口量可能导致石油过剩】船舶跟踪数据显示，11月抵达亚洲主要市场的原油达到逾2,200万桶/日的纪录高位，这较2017年1月增加约15%，也较今年年初增长近5%。上述很多原油是在美国本月开始制裁伊朗之前预定的，炼厂提前订购以防备石油供应突然减少。但由于美国政府意外给予广泛的制裁豁免，允许亚洲主要石油消费国继续从伊朗购买原油，因此并未出现整体供应下降的局面。美国、俄罗斯和沙特三大产油国的产量大增，带动全球供应不降反升。10月这三国的合计产量首次突破3,300万桶/日，可满足全球石油总需求的三分之一以上。'}
